Data Loss %,Spatial,FFT,Wavelet
0,0.9116,0.1,0.7372
1,0.8873,0.1,0.7346
2,0.8652,0.1,0.725
3,0.8556,0.1,0.7248
4,0.852,0.1,0.7177
5,0.8433,0.1,0.711
6,0.8461,0.1,0.7045
7,0.8398,0.1,0.7007
8,0.8345,0.1,0.6899
9,0.8293,0.1,0.6802
10,0.8267,0.1,0.6712
11,0.8136,0.1,0.6605
12,0.8047,0.1,0.6499
13,0.7974,0.1,0.6397
14,0.7886,0.1,0.6316
15,0.7814,0.1,0.6105
16,0.7706,0.1,0.6005
17,0.7576,0.1,0.5973
18,0.7477,0.1,0.579
19,0.7417,0.1,0.5683
20,0.7243,0.1,0.5597
21,0.7203,0.1,0.5416
22,0.7146,0.1,0.537
23,0.6987,0.1,0.5239
24,0.6878,0.1,0.5082
25,0.6832,0.1,0.5037
26,0.6723,0.1,0.4876
27,0.6631,0.1,0.4818
28,0.6563,0.1,0.476
29,0.6444,0.1,0.4621
30,0.633,0.1,0.4551
31,0.6262,0.1,0.4493
32,0.6164,0.1,0.4404
33,0.6063,0.1,0.4298
34,0.5883,0.1,0.4222
35,0.5815,0.1,0.423
36,0.5741,0.1,0.4138
37,0.5678,0.1,0.4072
38,0.5512,0.1,0.4029
39,0.5427,0.1,0.3989
40,0.5359,0.1,0.3911
41,0.5241,0.1,0.3862
42,0.5187,0.1,0.3821
43,0.5079,0.1,0.3752
44,0.5023,0.1,0.3692
45,0.4943,0.1,0.3708
46,0.4885,0.1,0.3527
47,0.4774,0.1,0.3582
48,0.4655,0.1,0.3479
49,0.4636,0.1,0.3444
50,0.4537,0.1,0.3382
51,0.446,0.1,0.3332
52,0.4398,0.1,0.3302
53,0.434,0.1,0.3219
54,0.429,0.1,0.3163
55,0.4224,0.1,0.3132
56,0.4066,0.1,0.3033
57,0.4043,0.1,0.3032
58,0.3931,0.1,0.297
59,0.3872,0.1,0.2849
60,0.3813,0.1,0.2839
61,0.3716,0.1,0.2772
62,0.3734,0.1,0.2729
63,0.3615,0.1,0.2705
64,0.3643,0.1,0.2608
65,0.3531,0.1,0.2576
66,0.3507,0.1,0.2507
67,0.3439,0.1,0.2436
68,0.3421,0.1,0.2375
69,0.3361,0.1,0.2285
70,0.3356,0.1,0.2258
71,0.3296,0.1,0.2237
72,0.3197,0.1,0.2172
73,0.3201,0.1,0.2106
74,0.3226,0.1,0.2029
75,0.3154,0.1,0.1957
76,0.3124,0.1,0.1937
77,0.3063,0.1,0.1844
78,0.3049,0.1,0.182
79,0.3021,0.1,0.1737
80,0.3014,0.1,0.1723
81,0.3016,0.1,0.1636
82,0.2964,0.1,0.1564
83,0.2899,0.1,0.1538
84,0.2926,0.1,0.1458
85,0.2794,0.1,0.1392
86,0.2782,0.1,0.1409
87,0.2839,0.1,0.139
88,0.277,0.1,0.1315
89,0.2741,0.1,0.1282
90,0.2653,0.1,0.1236
91,0.2614,0.1,0.1214
92,0.2411,0.1,0.1163
93,0.2313,0.1,0.1183
94,0.2123,0.1,0.1127
95,0.1907,0.1,0.1106
96,0.1675,0.1,0.1075
97,0.1446,0.1001,0.104
98,0.1325,0.1009,0.1094
99,0.1334,0.1055,0.1148
